Distance (mm),T (C),P (atm),H2,O2,H2O,CH4,CO,CO2,AR,PT(S),H(S),H2O(S),OH(S),CO(S),CO2(S),CH3(S),CH2(S),CH(S),C(S),O(S)
219.0,326.85,0.9999999999981406,0.0004221581884411285,0.002683091799443765,0.5739071686673201,0.09736950143102313,1.8454525872206663e-07,0.28716447888262275,0.038453416485890395,0.8501749670804801,0.014665523193420387,0.055520630656040654,0.004343564005494039,0.057990199125462764,2.889795594157819e-06,0.0006976190809469326,9.238013182640899e-09,1.3459272492276831e-13,0.016602241539471773,2.356284948952556e-06
220.5,326.85,0.9999999983403856,0.0004108410911854663,0.0025640772832018315,0.5740351063422564,0.09731336744996553,1.848420437938188e-07,0.28722278887467817,0.03845363411666868,0.8502927839538629,0.014668128810683622,0.055540330889294665,0.00415413853759834,0.058067410523709256,2.8867798426627397e-06,0.0006668505559503048,8.830685775516958e-09,1.2865894288943406e-13,0.01660520920015766,2.2519180948489343e-06
222.0,326.85,1.000000000000328,0.0004000168233250377,0.002450313866837478,0.5741574043455925,0.0972597121103083,1.8516388499630613e-07,0.2872785254205748,0.03845384226947674,0.8503978354074776,0.01467056310541754,0.055558671152360926,0.003972760894704294,0.05814972514336759,2.8838690679229912e-06,0.0006374165974834271,8.440964091288775e-09,1.2298206202028339e-13,0.016607983276341616,2.1521127003585406e-06
223.5,326.85,1.00000000064074,0.0003896646117705009,0.0023415742376740167,0.5742743063689322,0.09720842794748712,1.855114687281689e-07,0.2873317999788836,0.03845404134378388,0.8504903004777379,0.01467283001145801,0.05557568507116941,0.003799109045280524,0.058237299830320784,2.881057739645723e-06,0.0006092613908442986,8.06811739145255e-09,1.1755138299565493e-13,0.01661056837211718,2.056675105801148e-06
225.0,326.85,1.000000000000009,0.00037976450173115564,0.00223764054725958,0.5743860459944681,0.09715941198511861,1.8588553297467184e-07,0.2873827193625677,0.03845423172332186,0.8505703381545782,0.014674933243925496,0.05559140432008743,0.0036328721507649193,0.05833030053832588,2.8783405060953537e-06,0.0005823312843753599,7.711442752788684e-09,1.1235661683562744e-13,0.016612968836496694,1.965419393163371e-06
226.5,326.85,1.0000000000063844,0.00037029732921275754,0.0021383040487730153,0.5744928470792613,0.0971125655619009,1.8628686882763563e-07,0.2874313859173692,0.03845441377661383,0.8506380876960994,0.014676876288203326,0.055605858512321193,0.0034737503224657853,0.058428902453361936,2.8757121798227164e-06,0.0005565747182442489,7.3702642053964716e-09,1.0738787192598096e-13,0.016615188759647126,1.8781671142459608e-06
228.0,326.85,1.0000000000103457,0.0003612446941870681,0.0020433647460188806,0.5745949241274009,0.09706779416410788,1.8671632223696376e-07,0.2874778976944727,0.038454587857490216,0.8506936688473958,0.014678662393798527,0.055619075149835454,0.003321454370390412,0.058533290152964226,2.87316772658331e-06,0.0005319421553249821,7.043931888094924e-09,1.0263564132301854e-13,0.0166172319715122,1.7947470267058887e-06
229.5,326.85,0.9999999999005432,0.0003525889341897884,0.0019526310532340376,0.5746924826510145,0.097025007263362,1.8717479570769646e-07,0.28752234861780746,0.03845475430559645,0.8507371819761859,0.014680294574238518,0.0556310796254281,0.003175705546029169,0.05864365779195087,2.8707022570629044e-06,0.000508386014012693,6.7318212202028355e-09,9.809079032182215e-14,0.016619102043151156,1.714994837554578e-06
231.0,326.85,0.999999998949027,0.00034431309852035367,0.0018659194659325178,0.574785719519767,0.0969841181597465,1.87663250145079e-07,0.28756482864589455,0.038454913446889054,0.8507687086568967,0.014681775584845312,0.05564189495837903,0.003036235278674063,0.05876020914548945,2.868311005078608e-06,0.0004858605997475623,6.433332061490611e-09,9.37445438932677e-14,0.016620802278599352,1.6387529481937455e-06
232.5,326.85,0.9999999995541626,0.0003364009229211943,0.0017830542422963898,0.5748748232994335,0.09694504383004789,1.8818270669213082e-07,0.28760542392847177,0.03845506559412257,0.8507883099184015,0.014683108007135808,0.055651542920615714,0.0029027849103504338,0.05888315843097861,2.86598937714606e-06,0.00046432205069299915,6.147888002273351e-09,8.958847597606425e-14,0.016622335754250237,1.5658702302955126e-06
234.0,326.85,0.9999999995646671,0.00032883680507991104,0.0017038670957127988,0.5749599745786798,0.09690770478132599,1.8873424892756794e-07,0.287644216957632,0.03845521104732062,0.85079602830228,0.01468429416068233,0.0556600428955012,0.002775105423636958,0.05901272986355728,2.8637328859756227e-06,0.00044372826305719365,5.874935467343741e-09,8.561449619269831e-14,0.0166237052816226,1.4962017664680916e-06
235.50000000000003,326.85,1.000000000366571,0.00032160578050647416,0.0016281968971981438,0.5750413462856568,0.096872024909316,1.8931902485024882e-07,0.2876812867140579,0.0384553500942398,0.850791888255423,0.01468533609003355,0.055667411730478955,0.0026529571707275598,0.05914915776109964,2.8615371351919226e-06,0.00042403882867094296,5.613942934749859e-09,8.181483820561489e-14,0.01662491340379956,1.4296086184023552e-06
237.00000000000003,326.85,1.0000000002644736,0.0003146934992198233,0.0015558893884865751,0.5751191039932957,0.09683793136192106,1.899382492415658e-07,0.28771670880800965,0.03845548301081793,0.8507758932521015,0.014686235704255137,0.055673665530815174,0.002536109604297362,0.05929268774028158,2.8593979033681847e-06,0.0004052149889687016,5.364400305364536e-09,7.818205021158831e-14,0.016625962459280646,1.3659576294288882e-06
238.50000000000003,326.85,1.0000000000021854,0.0003080862029115935,0.0014867969048026311,0.5751934062145405,0.09680535440740502,1.9059320591632744e-07,0.28775055561552115,0.038455610061613146,0.8507480290134367,0.014686994633770736,0.0556788178314114,0.0024243410033618655,0.05944357587852879,2.857311043016576e-06,0.0003872195603229094,5.125818014426542e-09,7.470898185522323e-14,0.016626854521065913,1.305121176868246e-06
240.0,326.85,1.0000000000446587,0.00030177070282100114,0.0014207781076153766,0.5752644046870393,0.09677422730736364,1.9128525022614812e-07,0.28778289640968097,0.03845573150022942,0.8507082625946549,0.014687614276720037,0.05568288022443938,0.002317438204029801,0.05960208925124682,2.8552725053861497e-06,0.0003700168818076516,4.897726350731182e-09,7.138877407609586e-14,0.016627591419837887,1.2469769704544164e-06
241.5,326.85,1.0000000000056304,0.00029573435825355114,0.0013576977269933363,0.5753322446477276,0.09674448619430441,1.9201581167515278e-07,0.2878137974871799,0.038455847569729536,0.8506565411548145,0.014688095867242366,0.05568586317471372,0.0022151963330329957,0.059768506563489136,2.8532783748962476e-06,0.00035357276454141257,4.6796747920774826e-09,6.821484920729162e-14,0.016628174776202025,1.1914078567581953e-06
243.0,326.85,0.9999999993309896,0.000289965055712892,0.0012974263132603798,0.575397065097626,0.09671606995369394,1.9278639661877588e-07,0.2878433222902738,0.03845595850303637,0.8505927950644561,0.014688440328146863,0.05568777426510986,0.002117418539474903,0.059943117341104475,2.8513247726658854e-06,0.000337854424656333,4.47123119858399e-09,6.518089911732325e-14,0.01662860593939648,1.1383015975051492e-06
244.5,326.85,0.999999999929504,0.00028445118860835297,0.001239839997639849,0.5754589990571969,0.09668892011032806,1.9359859101825206e-07,0.2878715315243126,0.038456064523323105,0.8505169341346409,0.014688648467085634,0.05568862052069553,0.0020239157369726798,0.060126223388693945,2.849407968249183e-06,0.00032283044596403206,4.2719812750044316e-09,6.228087713044396e-14,0.016628886075242207,1.0875507053079464e-06
246.0,326.85,0.9999999997381136,0.00027918163773011474,0.0011848202620652953,0.5755181738119293,0.09666298071905596,1.9445406354959806e-07,0.2878984832707672,0.03845616584438861,0.8504288511628317,0.014688720804134338,0.05568840640032903,0.001934506341733416,0.06031813782352111,2.8475242706434626e-06,0.000308470714771461,4.0815277897951495e-09,5.950898657924007e-14,0.016629016094601226,1.0390522326053275e-06
247.5,326.85,1.0000000000000013,0.0002741457521826248,0.0011322537172702922,0.575574711149282,0.09663819825950767,1.9535456854378156e-07,0.2879242330961648,0.03845626267102405,0.8503284204528222,0.014688657655828396,0.05568713477132859,0.0018490160207648096,0.060519185752781396,2.8456700715841187e-06,0.0002947463764260356,3.899489991785523e-09,5.685967213611509e-14,0.016628996692841673,9.927076031166832e-07
249.0,326.85,1.0000000000244509,0.00026933333104622035,0.0010820318894948172,0.5756287275864378,0.09661452153491246,1.9630194929937893e-07,0.2879488341567938,0.038456355199365494,0.8502154973629966,0.014688459167141359,0.055684807274812974,0.0017672774428629126,0.06072970460699874,2.8438418578876587e-06,0.0002816297884669759,3.725503001144754e-09,5.432761080885932e-14,0.01662882836687998,9.484224404001695e-07
250.5,326.85,1.0000000000000069,0.0002647346055825445,0.0010340510151969913,0.5756803345896226,0.09659190157475796,1.972981413949299e-07,0.28797233729946237,0.0384564436172361,0.8500899198205156,0.01468812524226856,0.0556814235394407,0.001689130033102504,0.060950043804914894,2.8420361654003064e-06,0.00026909446898294183,3.5592171635541583e-09,5.190770244657095e-14,0.016628511388963596,9.0610639133052e-07
252.0,326.85,1.0000000000122833,0.000260340222056424,0.000988211843695072,0.5757296387850084,0.09657029154123034,1.9834517619600112e-07,0.28799479115835724,0.038456528104476306,0.8499515076260035,0.014687655590724793,0.05567698170555999,0.0016144197345053716,0.061180565136093094,2.8402495998274415e-06,0.00025711505403463786,3.4002974890249188e-09,4.959506144562557e-14,0.016628045830176595,8.656729687534511e-07
253.5,326.85,1.000000000013089,0.00025614122514218814,0.0009444194474522902,0.5757767421615122,0.09654964663930206,1.994451844986011e-07,0.2880162422481437,0.038456608833262955,0.8498000633541593,0.014687049689584421,0.05567147801871345,0.0015429987736763837,0.061421642597374405,2.8384788104098754e-06,0.00024566725149285956,3.248423064743337e-09,4.738500811520741e-14,0.016627431548341412,8.270393910512246e-07
255.0,326.85,1.0000000000261005,0.0002521290418994135,0.0009025830397556665,0.5758217422657536,0.09652992403034641,2.0060040030814532e-07,0.2880367350534272,0.03845668596841732,0.8496353711501032,0.014686306861701087,0.05566490766778926,0.001474725434052592,0.06167366290825195,2.836720527034184e-06,0.00023472780248569517,3.103286538948758e-09,4.5273061050096085e-14,0.01662666822533353,7.90126437804496e-07
256.5,326.85,0.9999999999921181,0.00024829546631295753,0.0008626157995636579,0.5758647323893967,0.0965110827491685,2.0181316477258862e-07,0.28805631211469107,0.03845675966770236,0.8494571982697334,0.014685426204943943,0.05565726402467468,0.0014094638322930697,0.06193702509602833,2.834971516290583e-06,0.0002242744363968732,2.9645935546877586e-09,4.3254928826773883e-14,0.016625755341491893,7.548582974831004e-07
258.0,326.85,1.0000000000423674,0.00024463264437776783,0.000824434703273157,0.5759058017491442,0.09649308362433344,2.0308593025565724e-07,0.28807501411083175,0.03845683008210947,0.8492652947770145,0.014684406623289691,0.05564853897905158,0.0013470837023004617,0.06221214066896345,2.8332285933660932e-06,0.00021428583273295373,2.8320622482353807e-09,4.1326502616836675e-14,0.016624692193531847,7.211624297965702e-07
259.5,326.85,0.9999999999831649,0.00024113305972830112,0.0007879603631987068,0.5759450356595898,0.09647588920168824,2.0442126458111035e-07,0.28809287993839555,0.03845689735613477,0.8490593938706406,0.01468324682490131,0.05563872291883485,0.0012874601845637064,0.062499433556201085,2.831488616102735e-06,0.0002047415826022445,2.705422749543451e-09,3.9483848846621775e-14,0.01662347789875944,6.889694302160508e-07
261.0,326.85,0.9999999999944349,0.00023778951978025806,0.0007531168724989567,0.5759825156992195,0.09645946367095445,2.0582185540319454e-07,0.2881099467876457,0.03845696162804549,0.848839211904,0.01468194533959926,0.05562780490543015,0.0012304736217739701,0.06279934012329084,2.829748489110349e-06,0.0001956221523322358,2.5844167063256775e-09,3.772320220236716e-14,0.016622111407741218,6.582129008423834e-07
262.5,326.85,1.0000000000000095,0.00023459514239203573,0.0007198316563668907,0.5760183198697396,0.096443772795298,2.0729051476068925e-07,0.28812625021555227,0.038457023030136435,0.8486044489766926,0.01468050050539095,0.055615772535011036,0.0011760093599033094,0.06311230896819846,2.828005152115379e-06,0.00018690884711927965,2.4687968139149425e-09,3.604095873254891e-14,0.01662059150438684,6.288293240642547e-07
264.0,326.85,1.0000000000388576,0.00023154334301671767,0.000688035329235001,0.5760525227490012,0.0964287838437599,2.088301837698537e-07,0.28814182421582635,0.03845708168897694,0.8483547891696519,0.01467891047746878,0.055602612027910316,0.0011239575556292428,0.06343880080468708,2.8262555800499713e-06,0.00017858377692712879,2.358326369572077e-09,3.443366930566539e-14,0.016618916815854368,6.007579425716073e-07
